ID,Card,Type,Stage / Rarity (trainer),Remaining Evo,Deck Feature Tier,Opener Archetype,Pressure,Wants,Possible CPU Deck Block?,Included in opp Deck?,Gated Until (promo only),,Feature Tier Key,
base1-1,Alakazam,P,2,,2.5,,"AP, SL","Tanks on the bench to move damage to with its pokemon power. It's a competent fighter with its ability to confuse but leans toward prefering the bench. If it's in the active spot itself or if a valuable ally is, it likes to move damage counters off the active one onto a tank on the bench. It prefers decks with several high-HP tank pokemon like Kangaskhan, Chansey, and Snorlax",,TRUE,,,Not shown,Not worth noting
base1-10,Mewtwo,P,b,n,0.5,f,,"Its damage from Psychic scales with opponent energy, so it likes to come in after there's already a powered-up opponent. The bot should be able to do the math in terms of how much damage Psychic would do to the opponent's active pokemon every time a new pokemon has to be promoted to active. I can't think of any situation Barrier would be used. It requires an energy funnel in order to survive long enough for the next energy funnel, all while the enegy funnel prevents you from powering anything up.",,TRUE,,,1,Strategic Opener / Tank / Other utility
base1-100,E Energy,Energy,,,,,,,,TRUE,,,2,Secondary Feature
base1-101,P Energy,Energy,,,,,,,,TRUE,,,3,Primary Feature
base1-102,W Energy,Energy,,,,,,,,TRUE,,,4,Elite Feature
base1-11,Nidoking,G,2,,3,,SL,"Both its moves cost the same and both are worth using, but it usually wants to start with Toxic due to the extra poision damage before switching to Thrash, as the extra poision damage on top of Toxic's natural damage equal the 50/50 damage potential of Thrash. Once the opponent is poisoned, Toxic cannot add additional poison damage, so Thrash becomes more valuable.",,TRUE,,,,
base1-12,Ninetales,R,1,n,2,,HD,"To come in after it's ready to use Fire Blast, and to never be required to choose between Lure and nothing. Fire Blast wants an energy funnel but does high damage, so it requires some maintenance and stops bench growth every turn it attacks, but can one-shot many opponents. Lure does have uses, such as removing a dangerous pokemon and replacing it with one that is not ready to attack and is not able to retreat.",,TRUE,,,,
base1-13,Poliwrath,W,2,,3,,ED,"An Attack Choice, as both attacks are valid. Whirlpool is preferred due to the very high value of discarding opponent energy cards, but Water Gun can be Over-Attached into doing higher damage. Water Gun should be used when it results in a kill that Whrilpool wouldn't, and the bot should be willing to add that fifth energy to do so",,TRUE,,,Tier ranking is only for last of evolution line and select useful others. Partially based in subjectivity and play experience,
base1-14,Raichu,E,1,n,2,,"WP, HD","To use Agility when Thunder wouldn't kill, or when Thunder risks a self-kill that isn't worthwhile. Does need some degree of Kamakaze Timing. Agility buys turns through damage *and status* denial on a coin flip, while Thunder risks 30 self-dmg on a coin flip.",,TRUE,,,Remaining Evo only applies to Basic and Stage 1. All stage 2 are assumed to not have evolutions remaining,
base1-15,Venusaur,G,2,,3,,"BG, HD","Does not necessarily prefer the bench despite its pokemon power, but doesn't mind it there either. Uses Energy Trans to shift energy from bench pokemon to whatever is active for an instant power up, as long as the active pokemon isn't just going to die and lose it all right away. While the newly powered up active pokemon (which could be Venusaur itself) fights, its owner can slowly re-power the bench cards they stripped energy from",,TRUE,,,"Labels here are used for the lookup table on the deck tabs, but we can possibly get utility from it as well with the AI",
base1-16,Zapdos,E,b,n,1.5,h,HD,"To deal high damage and die rather quickly. Prefers to go down fighting over retreat, though not by self-kill. Thunder is the preferred attack until Zapdos looks like it will die on the opponent's next turn, or it risks a self-kill on this turn. In those cases, Thunderbolt should be used.",,TRUE,,,Trainer rarity is used to gauge usefulness in decks,
base1-17,Beedrill,G,2,,3,,SL,"To use Poison Sting first, and then Twineedle when the opponent is already poisoned. Poison Sting is preferred again when a guaranteed 40 damage or less is needed, rather than gambled on Twineedle's coin flip",,TRUE,,,Half steps are used. Consider those candidates for the next tier with proper support,
base1-18,Dragonair,C,1,y,1,,ED,"Is not afraid to fight even though it's not fully evolved, as long as Hyper Beam can be used and the opponent is unable to powerup for a kill because of it. Slam use is rare due to the value of discarding an opponent energy. ",,TRUE,,,"Opener archetypes per card are tracked. I don't know if we'll need these but it's cheap to do while going through the set anyway. Unlabeled ones should be deferred as openers when possible, but usually committed to once they're in. Based on battle utility, not whether they can evolve, etc",
base1-19,Dugtrio,F,1,n,2,,HD,Slash is preferred unless Earthquake would kill and Slash wouldn't. The damage to its user's own bench should be weighed against Earthquake,,TRUE,,,Numbers added to the end of names is for differentiation purposes between cards with the same name. Ex: B2 means base2/Jungle,
base1-2,Blastoise,W,2,,4,,HD,"5-ish extra W energy in deck, Over-Attach 2 extra energy for Hydro Pump's max potential, which is worth it. Loves to fight. When it evolves, its user should immediately use Rain Dance to dump as many energy cards on their pokemon as those pokemon require, prioritizing the ones currently fighting and Blastoise itself",,TRUE,,,Nonholo duplicates are tagged with NH after their name. It helps the lookup table,
base1-20,Electabuzz,E,b,n,1,a,SL,"Loves to open. Chooses between its moves based on the quickest path to a kill (assuming Thunderpunch's guaranteed 30 damage rather than an average), but prefers Thundershock first when it doesn't lose it a turn by doing so. ",,TRUE,,,"Trainer Function Key, Pressure, and Wants were added at the advice of #15 and haven't been fully applied retroactively yet",
base1-21,Electrode,E,1,n,2,,,,y,TRUE,,,Opener archetypes are only applied to basic pokemon here,
base1-22,Pidgeotto,C,1,y,,,PC,"Almost always uses Whirlwind to throw opponents around the play area and doens't even power up Mirror Move unless doing so to prepare for evolution. Mirror Move should only be used when it would result in a kill that Whirlwind wouldn't, and the bot should be willing to spend the energy at the time to do so rather than in advance",,TRUE,,,,
base1-23,Arcanine,R,1,n,2,,HD,"Both attacks do high damage and both have drawbacks. Flamethrower requires an energy funnel but should be the default due to Take Down's self-damage. However, Take Down should stay powered up and ready to go for when it's needed, meaning the bot should not want to use even Flamethrower until Arcanine has four energies attached, as it requires that constant funnel that would make Take Down unavailable if used at three energies",,TRUE,,,,
base1-24,Charmeleon,R,1,y,,,,"Does decent damage but does not want to fight. Prefers to sit on the bench and pre-Over-Attach energies for an evolution to Charizard, even when Charizard isn't in the hand. Flamethrower does good damage but requires an energy funnel on the card that you want to evolve into the biggest energy funnel of all, so it's best avoided unless necessary. A Charmeleon that ends up fighting and having to use Flamethrower should almost be written off for evolution and used only as a fodder attacker.",,TRUE,,,Opener Archetype Key:,
base1-25,Dewgong,W,1,n,2,,SL,Classic Attack Choice between Aurora Beam and Ice Beam. Punches above its weight and doesn't retreat,,TRUE,,,,
base1-26,Dratini,C,b,y,,,,,,TRUE,,,A,"Attack Opener. Openers that use stalling attacks, low damage attacks w/ high HP, or build up to damage quickly without evo. Should be weighted high for starter selection or stalling jobs, lower for retreat. Can sometimes also build up to stronger moves while stalling. Ex: Onix, Jynx"
base1-27,Farfetch'd,C,b,n,,a,,"Likes to open, and its only useful role ever is to open, and even that is not very useful. Should use Leek Slap and then be left to die while other things are powered up, unless desperate enough to need to power up Pot Smash. Our autobuilder should probably weight this one rather low",,TRUE,,,T,Tanks. Usually used as openers but attacks are usually defensive stalling or card drawing. Usually weighted higher than other openers. Ex: Chansey
base1-28,Growlithe,R,b,y,,,,Low-weight opener. Arcanine's high energy cost makes it prefer the bench,,TRUE,,,F,"Fallback opener. Good cheap attack option during game, not a main weapon but capable of bridging gaps. Good opener if other options aren't available. Ex: Mewtwo (1-10)"
base1-29,Haunter,P,1,y,,,SL,"Hypnosis + Dream Eater is a Setup Turn combo but Dream Eater only has a 1/4 chance of being successful before even before you factor in the opponent's chance to wake up by evolving. Therefore it doesn't want to fight, and should be used only as a staller when it does. It's still useful to keep at 2 energies rather than Dream Eater being a reactive energy-add at the time it's needed, due to Gengar's attack needing 3 energies. If kept at 2 while Haunter, it can evolve and attack the same turn a Gengar is drawn (as long as its player has the extra energy in hand)",,TRUE,,,E,"Evo openerer. Lower weight when it comes to opening due to evolution possibility but does have stalling moves or can do damage, and should be prioritized when stalling is needed and no other options available. Higher priority if evolution exists in hand and is realistic to survive long enough to evolve. Ex: Squirtle"
base1-3,Chansey,C,b,n,1,t,WP,"To work as a tank or staller, hiding behind Scrunch and rarely ever retreating or using Double-Edge",,TRUE,,,N,Avoid using as an opener when possible. Should be weighted lower than the baseline and possibly even switched out when other options become available. Ex: Magikarp
base1-30,Ivysaur,G,1,y,,,SL,"A middle stage that doesn't mind fighting due to Poisonpowder's guaranteed poisoning. If it evolved from Bulbasaur in the active spot, then it's already in good position to deal damage due to Bulbasaur's attack costing 2 energies, and both of Ivysaur's costing 3, meaning Bulbasaur can be evolved fluidly without being pre-loaded while fighting",,TRUE,,,H,"HP staller. A high HP card that would normally be used as an attacker is substituted as a tank due to lack of other options. Committed to once in, not retreated or powered up unless smart to do so. A complete sacrifice. Ex: Zapdos "
base1-31,Jynx,P,b,n,0.5,a,,"Meditate is preferred and can be extremely effective against much stronger (but damaged) pokemon. Loves to start and use Doubleslap while powering up Meditate, or might choose to tank without only Doubleslap while something more valuable is powered up on the bench instead. Meditate's potential damage should always be considered by the bot when choosing something to promote",,TRUE,,,,
base1-32,Kadabra,P,1,y,,,HD,"Super Psy does high damage for what it is, and even outdoes its own evolution's damage. The evolution is still preferred in most situations though due to its pokemon power and chance to confuse. Recover should never be used. It drains an energy from a pokemon that wants to stay at 3 energies at all times. Getting in a 50 dmg hit and dying is almost always preferable to recovery or retreat",,TRUE,,,,
base1-33,Kakuna,G,1,y,,,SL,Is a good fighting mid-stage that likes to meddle with Poisonpowder. Damage and chance to poison is almost always preferable to a 50/50 chance at damage prevention with Stiffen,,TRUE,,,,
base1-34,Machoke,F,1,y,,,,"A tough card to use because one attack's damage shrinks very quickly with damage taken, and the other deals self-damage. Can deal high damage to an opponent quickly but can become useless after that. Prefers to evolve on the bench unless a quick cheap hit is needed, at which time it does have a use",,TRUE,,,Trainer Function Key (uses the Deck Feature Tier column):,
base1-35,Magikarp,W,b,y,,n,,"If this guy is fighting, you're in a bad spot",,TRUE,,,D,Draw. Cards are picked up from the top of the deck
base1-36,Magmar,R,b,n,,f,HD,"Flamethrower does good damage but requires an energy funnel, and this is not a pokemon you want consuming all your energies. Use Fire Punch as default but be ready for Flamethrower when needed. Low HP means it dies rather quickly.",,TRUE,,,S,Search. Search for a card in the deck
base1-37,Nidorino,G,1,y,,,,"Horn Drill preferred, Double Kick only when it can't be afforded",,TRUE,,,P,Disruption. Interferes with the opponent or the status of the board
base1-38,Poliwhirl,W,1,y,,,,Amnesia can block an opponent's damage before Doubleslap has the energy to be used or if Poliwhirl needs to survive to the next turn to evolve. Otherwise Doubleslap is always preferred,,TRUE,,,H,Heal. Removes damage from Pokemon
base1-39,Porygon,C,b,n,,a,,"To use Conversion 2 to stay resistant to its opponent while it stalls as long as it can before death. Conversion 1 should only be used when Conversion 2 can't be afforded, and when it is, the bot should shift the opponent's weakness the type of their own current strongest (non-colorless) bench pokemon",,TRUE,,,M,Movement. Moves someone from somewhere to somewhere
base1-4,Charizard,R,2,,4,,HD,"A deck where four DCE replace four R energies, and to be pre-Over-Attached with as many energies as possibe before being sent into battle. Even Charmeleon should be preloaded on the bench before evolution in anticipation of this card's high Energy Funel costs.",,TRUE,,,R,Recovery. Removes status conditions
base1-40,Raticate,C,1,n,,,,"Bite is primary, and Super Fang usually isn't worth it. Power up beyond Bite only if there are no better options for that energy",,TRUE,,,E,Exclude from baseline. Doesn't fall in with the other functions but should be excluded from baseline readings
base1-41,Seel,W,b,y,,,,,,TRUE,,,T,Stadium. Designates stadium cards
base1-42,Wartortle,W,1,y,,,,Only withdraws when it can't use Bite. Doesn't mind fighting while it waits to evolve,,TRUE,,,,
base1-43,Abra,P,b,y,,e,SL,,,TRUE,,,,
base1-44,Bulbasaur,G,b,y,,,,To open if starting with an Ivysaur in hand,,TRUE,,,Pressure,
base1-45,Caterpie,G,b,y,,e,SL,,,TRUE,,,ED,Energy Denial - Strips the investement you already made
base1-46,Charmander,R,b,y,,,,"Ember is an energy funnel on a card whose evolutions also demand energy funnels, so a Charmander forced to use it should almost be written off for evolution if there are other options",,TRUE,,,BD,Bench Damage - Your cards aren't safe
base1-47,Diglett,F,b,y,,e,,To open when a better option isn't available due to Mud Slap's high damage for that stage,,TRUE,,,PC,Position Control - You fight with the wrong pokemon
